feature,importance
Sleep Duration,0.7923108794191607
Stress Level,0.12632587103559473
Heart Rate,0.03669021787645974
Age,0.0287819424319304
Daily Steps,0.013050316161155737
Physical Activity Level,0.0028407730756987997
